plot,typeKey,typeShort,typeCode,typeFull,deed,houseNo,area,areaAdd,priceStart,priceDiff,priceNet,apprSCB,status,note
แปลง,ไทป์,ชื่อไทป์,รหัสไทป์,ไทป์เต็ม,เลขโฉนด,บ้านเลขที่,เนื้อที่(ตร.ว.),เนื้อที่เพิ่ม,ราคาตั้งต้น,ราคาส่วนเพิ่ม,ราคาขายสุทธิ,ราคาประเมินSCB,สถานะการขาย,หมายเหตุ
437,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247491,89/437,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
438,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247492,89/438,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
439,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247493,89/439,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
440,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247494,89/440,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
441,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247495,89/441,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
442,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247496,89/442,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
443,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247497,89/443,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
444,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247498,89/444,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
445,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247499,89/445,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
446,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247500,89/446,38.5,18.5,2200000,655000,2855000,3462250,ว่าง,
447,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247501,89/447,39.4,19.4,2200000,682000,2882000,3487900,ว่าง,
448,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247502,89/448,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
